	Name	main_news	tagged_news
248	GOOGL	Lenovo Shares Tumble in Wake of Company’s Deal Spree: Tuesday was the stock’s first full day of trading since Lenovo announced it would buy Motorola Mobility from Google for $2.9 billion last week. The deal came a week after it agreed to acquire IBM’s low-end server business for $2.3 billion.	
249	GOOGL	"How Google Glass and Netflix Will Fill the Air: Cisco Systems’ annual study says mobile broadband use stands to grow 11-fold in the next five years. That may be a low estimate; Cisco also found that Google Glass is a tremendous consumer of online data. So is binge viewing, which is becoming mor..."	
250	GOOGL	"Picking a Flavor of Linux: Plus, opting out of Google Plus auto backup."	
252	GOOGL	"A Screaming Comes Across the Sky: Google vs. the Counterforce: In little more than a decade, Google has become essential and omnipresent. Now the question is whether people will start to resent and oppose it."	"Sorting iPad Apps by Name: A method to sort apps alphabetically, and how to edit the Facebook “Look Back” greatest-hits movies."
253	GOOGL	"Did Anyone Look at That Ad?: Google and comScore, two leaders in online advertising, announce a partnership to help web advertisers figure out in real time who is looking at their ads."	
256	GOOGL	"Microsoft’s Stakes in the Battle for Handsets: Trying to ensure the survival of Windows in a mobile universe, Microsoft enters a complex struggle, while Google abandons a money-losing handset unit."	"A Huge Solar Plant Opens, Facing Doubts About Its Future: The Ivanpah solar power plant in California is the largest and first electric generator of its kind. It could also be the last."
258	GOOGL	"The Loyal Users of Google Plus Say It Is No Ghost Town: Some people who use Google Plus say it is a thriving social network, useful for photography, video chats, in-depth online conversations and meeting new people who have similar interests."	"Pushing Back Against Government Surveillance: When the Beijing lawyer Xie Yanyi asked his government to tell him about its spying on citizens, he got a no-reply answer. But the problem is worldwide and needs to be solved worldwide, he said."
259	GOOGL	"Google Fiber, Ultrahigh-Speed Internet, May Expand to 34 New Cities: Google is asking 34 cities to pave the way for Fiber without guaranteeing it will install it, a change in approach as the Internet giant grapples with real-world challenges like tearing up roads."	
261	GOOGL	"Google, Riding Off Into the Sunset: There is so much hype around new technologies, it is difficult to distinguish between what might exist real soon and what will only be real eventually or never. Case in point: the driverless car."	
262	GOOGL	"Lessons From Google, in School and at Work: Responses to a column by Thomas L. Friedman, “How to Get a Job at Google.”"	
264	GOOGL	"Google Pays for the Ride: Google, under fire in San Francisco for not giving back, gave back Thursday, with $6.8 million to fund a city transit program that provides monthly bus and streetcar passes to 31,000 low-income youths."	"Federal Court Orders YouTube to Take Down Controversial Anti-Islam Video: The “Innocence of Muslims” video on YouTube set off a fierce debate over free speech in 2012, but a federal court ruling on Wednesday was about an entirely different legal issue: copyright."
269	GOOGL	"Colluding Against Programmers: A class action lawsuit against employers in Silicon Valley, including Apple and Google, has lifted the curtain on secret, anti-competitive deals."	
270	GOOGL	"Streaming Home Movies Online: Plus, making Google Now, the virtual personal assistant, a little less personal."	
273	GOOGL	"Credit Karma, a Credit Score Service, Raises $85 Million: The nearly seven-year-old start-up on Wednesday announced a third round of fund-raising, led by Google through an investment arm that specializes in late-stage technology companies."	"Supporting Start-Ups With Connections, Advice and Caffeine: The 1 Million Cups program is run by entrepreneurs, and local chapters are springing up across the country."
274	GOOGL	"Renaissance Learning Is Sold to Hellman & Friedman for $1.1 Billion: The education analysis company Renaissance Learning has announced that it has been sold to the private equity firm Hellman & Friedman for $1.1 billion. Google Capital, which invested in the company last month, will stay on board."	"Weakened by Mobile, Desktop Search Advertising Is Declining: The desktop search advertising business, long the most reliably profitable on the web, will decrease $1.4 billion this year, according to eMarketer, while mobile search revenue will nearly double."
276	GOOGL	"Google’s Legal Chief Joins K.K.R.’s Board: The private equity firm Kohlberg Kravis Roberts has attracted David C. Drummond, one of Silicon Valley’s top legal executives, to its board of directors."	"Beware China Internet infatuation: China Internet names like Alibaba and Sina Weibo are exploding onto the U.S. stage, but Breakingviews' Peter Thal Larsen warns enthusiasm shouldn't blind investors to the risks they carry."
277	GOOGL	"Google Unveils Software for Smartwatches-to-Be: In a pre-emptive move against Apple, Google revealed Android Wear, a version of the Android operating system that is tailored for wearable computers."	"Daily Report: Airlines Use Wearables to Get More Personal: At a time when many airline “innovations” — like charging extra for an aisle seat or cutting back on frequent flier benefits — might anger more than amaze, carriers like Virgin Atlantic and Qantas are using wearable devices and other technology to..."
280	GOOGL	"Why Android Wear Is the Beginning of the Wearable Devices Era: Every hardware platform needs software to be successful. By giving manufacturers a known operating system to work with, Google’s Android Wear will jump-start the wearables industry, says Molly Wood."	"Justice Department Names New Leader for Criminal Division: David O’Neil, a longtime Justice Department official, will assume the role of acting assistant attorney general on Monday, overseeing some major investigations into Wall Street and corporate misdeeds."
282	GOOGL	"Biggest Eyewear Company Signs On With Google Glass: Luxottica Group, owner of brands like Ray-Ban, Oakley and manager of retail chains like LensCrafters and Sunglass Hut, will design, produce and sell frames for Google Glass, the wearable computer."	"Choosing a Tablet Computer: Plus, adjusting the font size on the Chrome browser."
283	GOOGL	"Google Revamps Election Portal to Encourage Indians to Vote: The portal features Google Hangouts with prominent Indian politicians, during which users can submit questions, and ranks the politicians by how often they come up on Google Search, Google Plus and YouTube."	
284	GOOGL	"Government Data Requests Fall at Yahoo But Rise at Google: Government officials in the United States and overseas made fewer requests for the private data of Yahoo users in the second half of 2013, but such requests continued to rise at Google, the companies said on Thursday."	
285	GOOGL	"Google Flu Trends: The Limits of Big Data: Two recent research papers, examining Google Flu Trends, offer a critique of big-data analysis."	"Smartphones, the Disappointing Miracle: People from Earth’s most remote corners have something in common: They all download apps, interacting with the mobile Internet billions of times a day, and they all feel frustration at slow loads and app crashes. A new report shows how much work i..."
286	GOOGL	"Apple’s War on Samsung Has Google in Crossfire: Apple is seeking about $2 billion in damages from Samsung, which in turn says Apple violated its patents, but the case could also have major implications for Google."	"Hollywood’s Antipiracy Efforts Add New Voice: Ruth Vitale, an independent film executive, was recently named executive director of CreativeFuture, a new force in the copyright wars."
287	GOOGL	"Tech Titans Are Vying to Be Your Pocketbook: Companies like Google, Amazon, PayPal and Apple are looking for the route to dominance over future alternatives, both real-world and virtual, to cash and credit cards."	
288	GOOGL	"Daily Report: Old Rivalry Aired Again in Patent Case Between Apple and Samsung: Apple’s suit against Samsung can be seen as a reprisal of an earlier lawsuit between the two companies, only this time with Google as a shadow third presence."	"For the Tech-Savvy With a Need for Speed, a Limited Choice of Towns With Fiber: The United States is 14th globally when it comes to offering fiber connectivity. Municipalities that offer it are often small or rural."
292	GOOGL	"At Google, Bid to Put Its Glasses to Work: The technology giant will give more assistance to Glass users at businesses, where the wearable device has already found some acceptance."	Tech Firms May Find No-Poaching Pacts Costly: Employees of technology companies have filed a class-action lawsuit that contends that illegal hiring practices among their companies has cost them billions in lost wages.
295	GOOGL	"Google Glass Available to Anyone in U.S. — for One Day Only: Next week Google is running a one-day promotion that will allow anyone in the United States to buy a pair of Google Glass. But some think the price, $1,500, is still too high."	"Unlocking Android With a Glance: Plus, creating group photo albums on Facebook."
296	GOOGL	"With Purchase of Drone Maker, Google Sees a Fleet of Satellites: Following in Facebook’s footsteps, Google said Monday that it had purchased Titan Aerospace, the maker of high-altitude drone satellites, which will be used to take photos of the earth and to connect people to the Internet."	
298	GOOGL	"In Germany, Strong Words Over Google's Power: Mathias Döpfner, a leading publisher, lashed out a week after the Google chairman, Eric E. Schmidt, mounted a spirited defense of Google's practices."	"Organize Photos on Your Phone: Molly Wood tests three apps, including the new Carousel by Dropbox, that help you sort and share the overwhelming number of photos on your mobile device."
299	GOOGL	"Daily Report: Google’s Results Disappoint as Ads Are Less Profitable: As Internet users migrate to mobile devices, Google earns less on its ads, and as the dominant player, the company is finding that growth opportunities are increasingly rare."	"Performance of Play in New York and Rwanda To Commemorate Genocide: The actor Jay O. Sanders is the author of “Unexplored Interior,” which will be performed on May 11."
302	GOOGL	"Windows Phone 8.1 Finally Catches Up to Its Rivals: With the addition of Cortana, Microsoft’s answer to Siri and Google Now, the mobile operating system can be considered an equal in most areas."	"IBM Opens Chip Architecture, in Strategy of Sharing and Self-Interest: The first server designs resulting from IBM’s decision to open up its Power chip technology are being announced on Wednesday."
303	GOOGL	Skills Sought by Google: Readers react to Thomas L. Friedman’s interview with the head of hiring at Google.	Daily Report: F.C.C. to Propose a Web Fast Lane: Planned new rules would allow an Internet provider to negotiate separately with content companies and charge them for priority service.
304	GOOGL	Reading Message Headers in Gmail: Plus rebooting a cable box and DVR.	"Amazon’s Shrinking Profit Sets Off a Seismic Shock to Its Shares: For a second quarter in a row, the Internet retailer’s stock fell sharply after its earnings report, suggesting that investors may be growing wary."
306	GOOGL	Europe’s Antitrust Chief Censures Google’s Motorola Mobility Over Key Patents: The ruling is the strongest statement yet by an antitrust authority against the use of vital patents for mobile digital devices to stymie rivals.	
311	GOOGL	Using Mac Notifications and Multi-Touch Gestures: Plus how to discontinue a Google Alert.	
314	GOOGL	What It Means When Google ‘Verifies’ an App: Plus deleting old Passbook cards on your iPhone.	
315	GOOGL	"Daily Report: Plaintiff in Silicon Valley Suit Asks Judge to Reject Proposed Deal: Michael Devine, one of four plaintiffs named in the class action against Apple, Google, Intel and Adobe, has asked the judge in the case to reject the settlement his own lawyers negotiated."	
316	GOOGL	"E.U. Court Rules in Google Privacy Case: The highest court in the European Union decided on Tuesday that Google must, in some cases, honor requests from its search engine users to delete links to personal information."	"When Driverless Cars Break the Law: Although legal issues connected to driverless cars have raised many questions, emotion may prove a greater obstacle to their acceptance."
317	GOOGL	A Trip in a Self-Driving Car Now Seems Routine: A test ride of the latest version of Google’s self-driving car could be best characterized as underwhelming. And that is not a bad thing.	
318	GOOGL	Don’t Force Google to ‘Forget’: But it does need to change how it searches for personal names.	"One Court Ruling on Privacy in Europe, and 28 Regulators: Europe’s highest court defended its citizens’ right to privacy. But it left unstated what the channels and particulars are."
319	GOOGL	European Court Lets People Influence Web Search Results: The European Court of Justice ruled that Google search results should comply with individual’s right to be forgotten.	
321	GOOGL	E.U. Antitrust Chief Casts Doubt on Google Deal Over Rivals’ Links: Joaquín Almunia said that he might yet file formal charges if his inquiry determines that more changes are needed in a case involving search results.	
322	GOOGL	"Google S.E.C. Filing Says It Wants Ads In Your Thermostat and Car: According to a filing with the Securities and Exchange Commission, Google wants to put advertisements on your thermostat, in your car and on your refrigerator."	Remember to Forget: Do you have to live with that goofy Instagram forever?
323	GOOGL	Countdown to 2014 World Cup: Day 21: Google has a trove of data (no surprise there) confirming that soccer is the most popular sport in the world when it comes to Internet searches.	
325	GOOGL	It’s Not as Simple as Asking to ‘Be Forgotten’ by Google: A European court’s ruling on the ability to erase links to negative information may not solve the issue of harm to a person’s reputation.	
326	GOOGL	"Google Releases Employee Data, Illustrating Tech’s Diversity Challenge: Google on Wednesday released statistics on the makeup of its work force, providing numbers that offer a stark glance at how Silicon Valley remains a white man’s world."	"State of the Internet: Still Growing but More Mobile Than Ever: Mary Meeker, an influential venture capitalist, analyzes the rapid growth of mobile devices, Internet video and China in her annual report on the state of the Internet industry."
327	GOOGL	"Police, Pedestrians and the Social Ballet of Merging: The Real Challenges for Self-Driving Cars: John J. Leonard, a veteran Massachusetts Institute of Technology roboticist, thinks that Google is trying to tackle tremendous challenges in its autonomous driving project."	
328	GOOGL	"Google Takes Steps to Comply With ‘Right to Be Forgotten’ Ruling: The company unveiled a way for Europeans to request the removal of links, but only from search results within Europe."	"Daily Report: Hurdles to Privacy on Web in Europe: A recent court ruling in Europe has accelerated requests that Internet search companies expunge individuals’ data. Once a contested item is online, however, the genie will not easily go back in the bottle."
329	GOOGL	Podcast: Google Glass Operation: Google’s new hands-free computer is finding its way into operating rooms.	
330	GOOGL	"Google Offers New Encryption Tool: On Tuesday, Google announced plans to provide a new way to encrypt information that will make government snooping and hacking more difficult."	"WWDC Dissected: A New Era for Apple, but an End for Some Apps: On the heels of Apple’s WWDC keynote presentation, New York Times tech columnists Molly Wood and Farhad Manjoo discuss the hits and misses in the big announcements."
335	GOOGL	"Google to Buy Skybox Imaging for $500 Million: Though Google will initially use Skybox’s satellite offerings to improve its mapping service, the technology giant will likely use its latest acquisition to help expand its Internet access services — joining balloons and drones."	"Silicon Valley Tries to Remake the Idea Machine: Hoping to invent the future, the tech industry is looking to recreate its past."
336	GOOGL	Google Streamlines Its Tools for Small Businesses: The company said that many of the tools included in Google Pages and Google Places were consolidated and simplified.	"With a Bit of Planning, Keep the Cloud With You Always — Even Offline: The key to using your cloud services without an Internet connection is preparation."
337	GOOGL	"Freshdesk Raises $31 Million for Customer Support Software: The financing round in the start-up, which offers cloud-based software on a subscription basis, is being led by Tiger Global Management and includes Google Capital and Accel Partners."	
341	GOOGL	"Google Ready to Comply With ‘Right to Be Forgotten’ Rules in Europe: By the end of June, a team, led by the search company’s legal department, will start removing web links in Europe for some users that have made online requests."	YouTube to Block Videos From Some Indie Labels: The move comes as the company plans to start up a new subscription service that will compete with streaming music services like Spotify and Beats.
342	GOOGL	"Canadian Judge Says Google Must Remove Links Worldwide: The temporary order, granted last Friday by the Supreme Court of British Columbia, emerged from protracted litigation between two companies that were once closely connected."	
345	GOOGL	"Google’s Nest Labs Joins Race to Define Platform for the Internet of Things: Nest Labs, the Google-owned maker of smart thermostats, will tap a venture capital fund to encourage developers to work with its software."	
346	GOOGL	"At Google I/O Conference, Protesters Inside and Out: Inside the Google I/O developer conference, people were cheering for Google. Outside, people were protesting against Google, accusing it of playing a role in housing problems and evictions in San Francisco."	
347	GOOGL	"Google’s Grand Plans: A Conversation With Larry Page and Sundar Pichai: The two Google executives discuss the spread of Android, recent acquisitions and the notion of having a “right to be forgotten” online."	
348	GOOGL	"What to Do When Twitter Locks You Out: Plus, using Google Play gift cards for online purchases."	"Detroit’s Troubles: A Mosaic Says What Words Can’t: Today, an interactive graphic accompanied a front-page article about home foreclosures in Detroit. Two graphics editors explain how the project came about."
349	GOOGL	"Supreme Court Rejects Google’s Street View Appeal: A long-running privacy lawsuit may damage the company’s efforts to expand its technology to the home, the body and vehicles."	
350	GOOGL	"Google in Deal for Songza, a Music Playlist Service: The price is said to be $39 million for the app that competes with Pandora and others in making customized playlists of recommended songs."	Wheelies: The Flying Honda Edition: Honda puts its first commercial jet into flight; N.H.T.S.A. opens an investigation of 2012-14 Nissan Versas for a problem with a trim panel that hinders pedal operation.
351	GOOGL	"Fast and Easy Photo Albums for Printing: Also, how to replace the discontinued iGoogle page."	
352	GOOGL	"Google Alerts British News Outlets About Deleting Their Links: The BBC and The Guardian say that they have received notice of articles that will no longer show up in European online searches, including one about Stan O’Neal, the former Merrill Lynch chief."	
354	GOOGL	"Yelp Joins Critics of European Union Antitrust Settlement With Google: Yelp filed an objection to a proposed antitrust settlement, complaining that search results favor Google Plus Local."	"Intel, Qualcomm and Others Compete for ‘Internet of Things’ Standard: For a lot of tech companies, the devices and the data promised by the Internet of Things has a huge potential. That makes the way we get there, even through ostensibly free open source projects, into a battleground."
355	GOOGL	Silicon Valley Sharknado: How close are Google & Co. to inventing computers that overtake the human brain?	"European Companies See Opportunity in the ‘Right to Be Forgotten’: After a court ruling, companies in the business of monitoring and managing online reputations have added a sideline of removing links from searches."
356	GOOGL	"Cloud Computing Giants Add to Open Source Credentials With Kubernetes: Google has given up its secret sauce in a battle with Amazon Web Services for cloud computing customers. Now Microsoft, IBM and others are helping out. It looks like a strategy to blunt Amazon."	"Daily Report: Europe’s ‘Right to Be Forgotten’ Ruling Offers Some Companies an Opportunity: After a court ruling, companies in the business of monitoring and managing online reputations have added a sideline of removing links from searches."
357	GOOGL	Google to Tour Europe to Discuss Privacy: The group will visit six countries as it discusses how search engines will react to Europe’s so-called right to be forgotten ruling.	
359	GOOGL	Novartis Joins With Google to Develop Contact Lens That Monitors Blood Sugar: The Alcon unit of the European drug maker will help with one of the latest moves into the health care sector by the tech industry.	Invitation to a Dialogue: Internet Behemoths: An electronic privacy advocate writes about the growing size and power of a few Internet companies. Readers are invited to respond.
360	GOOGL	Wheelies: The Heavy Chevy Edition: General Motors will discontinue light-duty Chevrolet Express and GMC Savana vans; Alan Mulally joins Google’s board of directors.	How I’m Trying to Manage My Online Brand: When two senior executives from the other side of the world revealed that they knew my life’s story — and didn’t mind reciting it — I felt naked.
361	GOOGL	"Google’s Quarterly Results Show Its Continuing Struggle With Mobile Advertising: Second-quarter revenue and profit rose, but the company reported a lower “cost per click” ad price, largely because of a shift to mobile advertising."	"Undermining China, One Knockout at a Time: An essay by a Chinese commentator that has been widely republished argues that the “highest level” of the cyberwar between the United States and China has included the insidious advance of American culture via the Internet."
362	GOOGL	"Daily Report: Google’s Earnings Highlight Its Struggle With Mobile Advertising: Second-quarter revenue and profit rose, but the company reported a lower “cost per click” ad price, largely because of a shift to mobile advertising."	"Technology’s Rainbow Connection: Young gays and lesbians are trying to recode the culture in Silicon Valley, but it’s still a work in progress."
365	GOOGL	Google Acquires DrawElements: DrawElements produces a graphics test that helps companies make their software compatible with Google’s Android operating system.	"Twitter, Like Other Big Tech Companies, Comes Up Short on Diversity: The social media company’s report on employees’ gender and ethnic backgrounds is the latest in a string of reports indicating that when it comes to diversity, the tech industry has “a lot of work to do.”"
366	GOOGL	"Google to Offer Close-Up View of Liberty Island: On Wednesday, Google began the work of putting Liberty and Ellis Islands on Google Maps with Street View."	"Connecting the Tech World to Everyday Life: Molly Wood says that to friends and family, she is part tech support, part therapist and part fortuneteller. This is the life of a personal tech columnist for whom the tech is, simply, normal life."
367	GOOGL	"Challenges for Amazon’s Cloud Computing Hopes: Amazon Web Services reported a surprising decline in quarterly revenue on Thursday. Amazon blamed Google’s price cuts, but its web services could be hitting some harder business sales."	
368	GOOGL	"Italian Opera Company Experiments With Google Glass: On Wednesday, selected singers, orchestra members and various technicians will perform wearing Google Glass to transmit the opera live from their individual points of view to audiences online."	
370	GOOGL	"Paying With Your Phone: Molly Wood demonstrates how apps from PayPal, Starbucks and Google can help you make purchases with your phone, and explains why you can’t do it everywhere yet."	Easier Ways to Make Payments With Smartphones: Several new products and services have been released that could make mobile payments more convenient and worth trying.
371	GOOGL	"Google Details Problems With Handling Right to Be Forgotten Requests: Google said that the company often had to rely only on information provided by the submitters, and that it struggled to decide whether the requests complied with Europe’s recent ruling."	
373	GOOGL	"Exclusive Google ‘Camp’ Draws Elite to Sicilian Resort: Google has gathered business leaders, tech luminaries and celebrities for high-minded discussions of global issues as well as schmoozing and basking in the Mediterranean sun."	
374	GOOGL	"New Buying Strategy as Facebook and Google Transform Into Web Conglomerates: A buying spree among technology companies has revolutionized the venture capital business model, Steven Davidoff Solomon writes in the Deal Professor."	
375	GOOGL	Wikimedia Wants You to Remember the Links Europe Wants You to Forget: The nonprofit behind Wikipedia released a list of its links that Google has removed from its search engine in accordance with European law.	
376	GOOGL	"Daily Report: To Compete Against Amazon, Google and Barnes & Noble Team Up: Book buyers in Manhattan, West Los Angeles and the San Francisco Bay area will be able to get same-day deliveries from local Barnes & Noble stores through Google Shopping Express."	
378	GOOGL	"White House Picks Engineer From Google to Fix Sites: Mikey Dickerson, who helped repair HealthCare.gov, is leaving Google permanently to be the administrator of the new United States Digital Services Team."	
379	GOOGL	"Finding an App to Manage Passwords: Also, getting Kindle tech support abroad, and language translations directly from the Google search box."	Why BuzzFeed Is Trying to Shift Its Strategy: Can a company known for content that is more clickable than memorable survive when people inevitably change the way they read online?
382	GOOGL	"Outside Google’s New York Office, a Giant Rat Is All but Invisible: A large rat has appeared around the Chelsea building for several months. But the creature, a common sight at union protests, is not against the search engine."	
383	GOOGL	"In Silicon Valley, Mergers Must Meet the Toothbrush Test: Companies like Google are employing unorthodox criteria — say, whether a product is used daily, like a toothbrush — to size up their deal targets, and without the advice of Wall Street bankers."	XRay: A New Tool for Tracking the Use of Personal Data on the Web: A team of computer scientists at Columbia has developed a research tool for tracking the use of personal data online.
385	GOOGL	"Thumbtack, an Online Market for Services, Raises $100 Million: With the latest round – whose investors include Google Capital, Tiger Global, Sequoia Capital and Javelin Venture Partners – Thumbtack has now raised $150 million of financing to date."	
388	GOOGL	"Daily Report: Online Data-Storage Providers Search for Better Niches: Box, Dropbox and Hightail – caught in the middle of a price war between Amazon and Google – are rethinking their core business models, focusing on specific industries or bolstering customer service."	"Bearing Down on Data Upstarts: Box, Dropbox and Hightail are rethinking their core business models, focusing on specific industries or bolstering customer service."
389	GOOGL	"Google Buys Zync, Maker of Visual Effects Software: The Internet giant is adding specialized technology to its cloud computing services."	
392	GOOGL	Google Joins Amazon in Dreams of Drone Delivery: Who needs UPS trucks and bicycle delivery when you can fly in things people buy online?	
394	GOOGL	"Calico, Google’s Anti-Aging Company, Announces New Research Facility: A Google-backed biotech company plans to build a new Bay Area-based facility to research diseases that afflict the elderly, such as neurodegeneration and cancer."	
395	GOOGL	Opposition Grows in Europe to Google Antitrust Proposal: Microsoft and two trade groups for German publishers said the plan to reduce Google’s dominance of the search market was inadequate.	"Garth Brooks Embraces Digital Music and Unveils Online Store: GhostTunes, which offers Mr. Brooks’s complete catalog of music for $30, also carries songs from other artists, including Brad Paisley and Maroon 5."
396	GOOGL	"Melding Two Flickr Accounts Into One: Plus, pulling up a Google search by voice on your desktop computer."	
397	GOOGL	European Commission Delays Google Antitrust Settlement After Competitors’ Complaints: A plan to give competitors more equal status in the results displayed by Google searches faces further scrutiny after objections by companies like Microsoft and German publishing groups.	
398	GOOGL	"Discussing Online ‘Right to Be Forgotten,’ Google Takes European Privacy Tour to Spain: Google began in Madrid its seven-city tour of public meetings, hearing views from activists and members of the public about the best ways to remove certain links from its search results upon request."	
399	GOOGL	"Google Buys Lift Labs in Further Biotech Push: Google has acquired Lift Labs, a Bay Area company that makes a high-tech spoon designed to make it easier for people with neurodegenerative tremors to eat."	"Domestic Violence in The Times: From Civil Unrest to Spouse Abuse: The rise in the use of a phrase can often be connected with society’s increasing awareness of it as a problem, which is certainly the case here."
400	GOOGL	"Google Acquires Online Poll Company Polar: The company’s team of engineers and designers will join Google’s social network, Google Plus."	"Apple’s Smart Smartwatch Play: Let Developers Find the Killer App: Apple isn’t trying to answer the question of why you need its new watch. It built one that a lot of people will want, and left it to the developers to do the rest."
401	GOOGL	"Google to Give Start-Ups $100,000 in Cloud Computing Credits: Google has a new program in which it will offer start-ups $100,000 in credits on its Google Cloud Platform. The effort is the company’s latest attempt to take on Amazon Web Services, the leader in cloud services."	
402	GOOGL	Google Report Shows Governments’ Increasing Demands for Users’ Data: Google fielded 15 percent more requests for user data in the first six months of 2014 than in the previous six months.	"What the Apple Watch Says About Apple: The Apple Watch is both a product and the embodiment of Apple’s values — taste, trust and utility — that have long guided the company’s product and design decisions."
403	GOOGL	Google Lends a Helping Hand to Madison Ave. on Digital Proficiency: The tech company is offering advertising and media agencies tutorials on how to more effectively use digital tools like mobile and social platforms for marketing purposes.	
405	GOOGL	"News Corp. and Google in a War of Words: The publishing giant accused the search giant of being a “vast, powerful, often unaccountable bureaucracy,” and Google fired back with a tabloid reference to a hamster sandwich."	
407	GOOGL	"Daily Report: China’s Great Firewall Toughens for Google and Others: Chinese authorities have tightened censorship over Internet traffic in recent weeks, and Google and its services are particularly affected."	
409	GOOGL	Exposing Hidden Bias at Google: The tech giant is undertaking a long-term effort to make its employees aware of how unconscious biases can affect hiring and promotion decisions.	
410	GOOGL	Daily Report: Shedding Light on Hidden Bias at Google: The tech giant is undertaking a long-term effort to make its employees aware of how unconscious biases can affect hiring and promotion decisions.	
411	GOOGL	The Business Case for Diversity in the Tech Industry: Google argues that a diverse work force can help it come up with better products.	The Weekly Wrap: Highlights from the past week on Times Insider.
414	GOOGL	German Regulator Warns Google Over Collecting Users’ Data: The city of Hamburg’s data protection commissioner said the tech giant’s aggregation of data across its services risked creating “meaningful and comprehensive personal records” of individuals without their consent.	
415	GOOGL	Drones vs. Kidneys: Google Autofill on the Economy: A New York brokerage took a novel approach to studying what people are searching for on Google. We certainly spend a lot of time thinking about television bachelors.	
416	GOOGL	Times Articles Removed From Google Results in Europe: The notifications offer examples of the issues involved in Europe’s decision to allow individuals some control over what appears online about themselves.	
420	GOOGL	Google Provides Details on ‘Right to Be Forgotten’ Requests in E.U.: Google said that it had removed more links in Europe to content on Facebook from its search results than from any other website.	Technology Titans Lead Ranking of Most Valuable Brands : Four of the top 10 brands on the 2014 Interbrand Best Global Brands list are technology brands.
421	GOOGL	"Moving a Music Library to Linux: Plus, making text bigger in Google Maps."	
422	GOOGL	Am I Sick? Google Has a Doctor Waiting on Video: Google’s “Helpouts” platform is experimenting with a new product that lets consumers talk to doctors over video.	"YouTube Takes Manhattan : A studio that YouTube is opening in Manhattan will bring the company in proximity to more traditional creators of media content, along with a huge new pool of talent."
423	GOOGL	"Ireland to Phase Out ‘Double Irish’ Tax Break Used by Tech Giants: The provision known as the “double Irish,” used by companies like Google to reduce their bills, has been under scrutiny from European Union regulators."	
424	GOOGL	"Google Profit Will Depend on Wringing More From Mobile Ads: As mobile platforms take up an ever-greater share of internet traffic, Google is devoting more effort to nudging advertisers into paying more for mobile advertising."	"Poodle Bug Marks Third Major Security Flaw Discovered This Year: On Tuesday, researchers disclosed details of a security bug that could make web browsing sessions on a public network vulnerable to hackers."
425	GOOGL	"Stephen Colbert and the Angry Inch: Mr. Colbert attacked Google and its chief executive, Larry Page, for an inaccurate listing of his height."	Don’t Depend on Those Frozen Eggs: The debate over women’s careers is ignoring the medical reality.
426	GOOGL	"Daily Report: Analysts Wonder About Google’s Next Phase: Even though Google has expanded beyond its core search business, nothing has been as profitable as search, its original golden goose."	"The Downsides of Generous Workplace Perks: Some high-tech companies offer top-shelf extras like gourmet meals and child care, but critics say this just keeps people at work longer."
427	GOOGL	"Stephen Colbert Has a Mock Feud With Google Over Search Results: Stephen Colbert chided the search engine for getting his height wrong, a situation that highlighted challenges about the accuracy and sources of its information."	
428	GOOGL	"Turning a Floating Fantasy Into Reality: For the last 25 years, inventors, tinkerers and even top engineers at Google have been trying to develop a functioning hoverboard."	
429	GOOGL	Google Wants Inbox to Be Your Email System for the Next Decade: Google has created a new app for people to manage their overflowing inboxes.	"Twitter Offers Tool, Digits, to Sign In to Apps With Just a Phone Number: The social network unveiled a tool that software developers can use to let people more easily log on to smartphone apps."
431	GOOGL	"Parachutist’s Record Fall: Over 25 Miles in 15 Minutes: A helium-filled balloon lifted Alan Eustace, a Google executive, to more than 25 miles above the earth. Fifteen minutes after he cut himself loose, he was on the ground."	"Hoverboards: A Story 25 Years in the Making: An article about hoverboards took a reporter a lot of work, a little luck and 25 years of skateboarding injuries."
432	GOOGL	"Sorting the Phone’s Address Book: Also, using Google Maps “Lite” and private searches in OS X Yosemite."	
434	GOOGL	"Google Executive Sets Record for Free Fall: Reporter’s Notebook: John Markoff, who was there when the Google executive Alan Eustace set the world record for a balloon jump, tells the story behind the story."	
436	GOOGL	The New Thing in Google Flu Trends Is Traditional Data: Google Flu Trends is getting an overhaul intended to improve its accuracy. The new ingredient? Traditional public health data from the Centers for Disease Control and Prevention.	
437	GOOGL	"Google Search Data Suggests Voter Turnout Will Not Surge: In 2012, web searches on “vote” and “voting” helped predict turnout. This year, search volumes are roughly at the same level as four years ago."	"Programmers Deploy Cellphone Game to Support Hong Kong Protests: A Hong Kong-based mobile software company has created an app that allows people to indulge in both gaming and an interest in all things Occupy, featuring protesters facing off against thugs, police officers with tear gas and pepper spray, anti-Occ..."
438	GOOGL	"Google Glass May Have a Blind Spot, Study Says: A research letter about a very small sample test said Google Glass may create a small blind spot on the right side."	Your OkCupid Self: Critics of online dating data say it doesn’t say much about people’s real-world behavior. Might it give us insight into online behavior instead?
440	GOOGL	"Lollipop, the Latest Version of Android, Is Grown-Up and Accessible: Google’s latest version of Android is sophisticated and refined, and adds welcome security features to tablets. The Nexus 9 tablet, on the other hand, leaves some to be desired."	"Jawbone Up3 Band Takes Tracking to the Extreme: Jawbone, the activity tracker pioneer, is introducing the Up3 band and the inexpensive Up Move activity tracker. The trackers — as well as Jawbone’s focus on activity, health and data tracking — are cementing the company’s status as a whole-health..."
